,City,Country,Population,Lat,Lon,HasUnivs
0,Berlin,Germany,3669495,52.51605,13.37691,5
1,Madrid,Spain,3348536,40.41956,-3.69196,3
2,Rome,Italy,2856133,41.90323,12.49566,2
3,Paris,France,2140526,48.85718,2.34141,14
4,Vienna,Austria,1921153,48.20263,16.36843,3
5,Hamburg,Germany,1899160,53.55562,9.98746,2
6,Budapest,Hungary,1752286,47.49973,19.05508,1
7,Barcelona,Spain,1620343,41.38804,2.17001,3
8,Munich,Germany,1558395,48.13642,11.57755,2
9,Milan,Italy,1404239,45.46796,9.18178,6
10,Prague,Czech Republic,1324277,50.07913,14.43303,1
11,Cologne,Germany,1085664,50.94168,6.95517,2
12,Stockholm,Sweden,974073,59.33258,18.06683,3
13,Naples,Italy,959188,40.84016,14.25222,2
14,Turin,Italy,875698,45.06236,7.67994,2
15,Amsterdam,Netherlands,873289,52.36994,4.90788,4
16,Marseille,France,868277,43.29338,5.37132,1
17,Copenhagen,Denmark,794128,55.67567,12.56756,3
18,Valencia,Spain,791413,39.46895,-0.37686,1
19,Kraków,Poland,780981,50.06045,19.93243,1
20,Frankfurt,Germany,753056,50.11208,8.68342,3
21,Athens,Greece,664046,37.97614,23.7364,3
22,Helsinki,Finland,657674,60.17116,24.93266,3
23,Rotterdam,Netherlands,651870,51.91439,4.48717,4
24,Stuttgart,Germany,635911,48.76779,9.17203,3
25,Riga,Latvia,627487,56.94599,24.11487,1
26,Düsseldorf,Germany,619294,51.21564,6.77662,3
27,Dortmund,Germany,587010,51.51661,7.4583,3
28,Essen,Germany,583393,51.45183,7.01109,3
29,Gothenburg,Sweden,579281,57.70068,11.96823,2
30,Genoa,Italy,578000,44.41048,8.93917,1
31,Bremen,Germany,569352,53.07537,8.80454,2
32,Dresden,Germany,554649,51.05364,13.74082,1
33,The Hague,Netherlands,545273,52.08409,4.31732,4
34,Hanover,Germany,538068,52.37228,9.73816,1
35,Antwerp,Belgium,525935,51.22213,4.39769,4
36,Nuremberg,Germany,518365,49.45435,11.0735,1
37,Lyon,France,515695,45.75917,4.82966,2
38,Lisbon,Portugal,506654,38.72639,-9.14949,3
39,Duisburg,Germany,498590,51.43148,6.76356,3
40,Toulouse,France,479638,43.60579,1.44864,1
41,Palma de Mallorca,Spain,409661,39.57149,2.64694,1
42,Bologna,Italy,390636,44.50485,11.34507,3
43,Brno,Czech Republic,381346,49.19728,16.60368,1
44,Florence,Italy,378839,43.78238,11.25502,1
45,Bochum,Germany,364628,51.488,7.21399,3
46,Utrecht,Netherlands,357676,52.08979,5.11415,6
47,Wuppertal,Germany,354382,51.27165,7.19678,4
48,Aarhus,Denmark,349977,56.15302,10.20487,1
49,Bilbao,Spain,345821,43.2689,-2.9453,1
50,Malmö,Sweden,344166,55.5967,13.0011,3
51,Nice,France,342637,43.70029,7.27766,1
52,Bielefeld,Germany,333786,52.01548,8.53232,1
53,Bonn,Germany,327258,50.73243,7.10187,2
54,Bari,Italy,320862,41.12588,16.86666,2
55,Münster,Germany,314319,51.96302,7.61782,1
56,Karlsruhe,Germany,313092,49.01094,8.40846,1
57,Catania,Italy,311584,37.51136,15.06752,1
58,Mannheim,Germany,309370,49.48651,8.46679,2
59,Nantes,France,306694,47.21812,-1.55306,3
